origen,destino,num_viajes,tarifa_promedio
BUENAVENTURA VALLE DEL CAUCA,BOGOTA BOGOTA D. C.,11714,18156462.984121565
CARTAGENA BOLIVAR,BOGOTA BOGOTA D. C.,7069,20057232.29084736
BUENAVENTURA VALLE DEL CAUCA,YUMBO VALLE DEL CAUCA,5643,8935591.309587099
BUENAVENTURA VALLE DEL CAUCA,MEDELLIN ANTIOQUIA,4537,12313780.70994049
BUENAVENTURA VALLE DEL CAUCA,CALI VALLE DEL CAUCA,4508,9089902.727373559
CARTAGENA BOLIVAR,BARRANQUILLA ATLANTICO,4348,6685861.633854646
BUENAVENTURA VALLE DEL CAUCA,FUNZA CUNDINAMARCA,3254,13917629.47510756
CARTAGENA BOLIVAR,MEDELLIN ANTIOQUIA,3030,12282231.05610561
BUENAVENTURA VALLE DEL CAUCA,PALMIRA VALLE DEL CAUCA,2975,9796535.529411765
BOGOTA BOGOTA D. C.,CARTAGENA BOLIVAR,2926,12706635.14661654
